,Longitude,Latitude,station_name
1,14.19440179862968,55.3869304276317,Sweden_1
2,14.187942758578084,55.39061660466665,Sweden_2
3,14.13812388254024,55.39215267782667,Sweden_3
4,13.031977030063585,55.41251265751542,Sweden_4
5,14.148299358497573,55.418197960606186,Sweden_5
6,14.14185385449646,55.42848905865379,Sweden_6
7,13.001081366449531,55.439170040882274,Sweden_7
8,12.998150967004818,55.51553954794319,Sweden_8
9,12.995616202479662,55.53199252125825,Sweden_9
10,13.001152330862167,55.54568804406285,Sweden_10
11,14.106745154745576,55.96211207586881,Sweden_11
12,14.10809125027832,55.96278674397901,Sweden_12
13,14.110889622138538,55.96300464071752,Sweden_13
14,14.118328484500305,55.96373880993696,Sweden_14
15,14.319459945107957,55.98487286958219,Sweden_15
16,13.936028661640458,56.08273088989152,Sweden_16
17,13.936028661640458,56.08273088989152,Sweden_17
18,15.330292959134562,56.16782564110921,Sweden_18
19,15.332463650574216,56.16785019109851,Sweden_19
20,15.333103657530492,56.16928719715927,Sweden_20
21,15.323603210006109,56.16942923164339,Sweden_21
22,15.341762394667445,56.17450931234146,Sweden_22
23,15.340587885087562,56.17479916684244,Sweden_23
24,15.339550167692456,56.17484056565291,Sweden_24
25,15.35360239881414,56.31437738211505,Sweden_25
26,15.359108341676492,56.31461571793506,Sweden_26
27,15.359003974558846,56.31462239944013,Sweden_27
28,15.36053357238069,56.31568711926803,Sweden_28
29,15.36053357238069,56.31568711926803,Sweden_29
30,16.162574802568212,56.597342137282425,Sweden_30
31,15.543097287710872,56.60501750021417,Sweden_31
32,15.509546870409624,56.60612396317882,Sweden_32
33,15.549967950517328,56.60649990475245,Sweden_33
34,16.086134873359075,56.60742203629057,Sweden_34
35,15.530934877523627,56.63973422372707,Sweden_35
36,15.530730121244083,56.64024719406974,Sweden_36
37,15.529297023741846,56.64037008948725,Sweden_37
38,16.027719386863332,56.64301212057343,Sweden_38
39,14.298498713469897,56.66015144346432,Sweden_39
40,16.015628297381774,56.66638132871443,Sweden_40
41,14.302824196326942,56.66676468647155,Sweden_41
42,14.3046028253251,56.66726202528008,Sweden_42
43,14.30460196260887,56.6672734304378,Sweden_43
44,14.302736079694649,56.66879732507918,Sweden_44
45,14.308338989476304,56.67006857043096,Sweden_45
46,14.304802710088811,56.6700708928307,Sweden_46
47,14.300731270711466,56.67114444553949,Sweden_47
48,12.772440103955256,57.067489687542206,Sweden_48
49,12.77778970169008,57.06988229045484,Sweden_49
50,12.777476650530154,57.07115007377213,Sweden_50
51,12.443750200198442,57.15116519605103,Sweden_51
52,12.453285514135777,57.1773326274698,Sweden_52
53,18.370241150153326,57.23521505136669,Sweden_53
54,16.997758072875683,57.27710053951743,Sweden_54
55,16.999783976866176,57.27897321814972,Sweden_55
56,16.99925404183694,57.2789906339243,Sweden_56
57,17.00255327504711,57.279824158880864,Sweden_57
58,15.642867577997215,57.28224354545551,Sweden_58
59,16.99136185520946,57.28612879587413,Sweden_59
60,15.641545736265222,57.28767082668735,Sweden_60
61,15.639774509524145,57.289368981225095,Sweden_61
62,15.639380333325338,57.29099669419184,Sweden_62
63,15.639706456781136,57.29162386678883,Sweden_63
64,13.624294155460971,57.397368730293245,Sweden_64
65,13.618349582720272,57.39919003554117,Sweden_65
66,13.646207983366992,57.411771170873656,Sweden_66
67,13.646236975347684,57.4120547462482,Sweden_67
68,18.36770525848202,57.49354140548274,Sweden_68
69,15.833019820570398,57.51152660928583,Sweden_69
70,15.829170136199089,57.51189314008369,Sweden_70
71,15.830303941456114,57.512131824352274,Sweden_71
72,15.828161749210269,57.51256271732531,Sweden_72
73,15.824636859493536,57.513474410256094,Sweden_73
74,15.821066749341911,57.5145061331685,Sweden_74
75,12.028100346873034,57.53288712321845,Sweden_75
76,12.043328032203162,57.547370961879366,Sweden_76
77,11.99673797351179,57.55132452946479,Sweden_77
78,12.020793673583688,57.553779798127856,Sweden_78
79,12.020220158318846,57.56177146146484,Sweden_79
80,18.61078051812328,57.664836180602585,Sweden_80
81,18.673785655036376,57.67537272743797,Sweden_81
82,13.763623963139482,57.68119021827718,Sweden_82
83,15.601695693080218,57.76055624136762,Sweden_83
84,15.600925057929103,57.76065322708066,Sweden_84
85,15.599778014769178,57.7611492907482,Sweden_85
86,15.601046544657404,57.76206911837146,Sweden_86
87,15.60022005280713,57.76217480821298,Sweden_87
88,15.599259561659816,57.76219668982759,Sweden_88
89,12.436184864545172,57.76399874890168,Sweden_89
90,12.450660511732911,57.768368337214575,Sweden_90
91,12.442508581205113,57.77529487349284,Sweden_91
92,12.40157678826551,57.775898935678,Sweden_92
93,12.425757453555802,57.776835347767104,Sweden_93
94,12.438509719298391,57.78173090641319,Sweden_94
95,12.43548598520465,57.78731067530641,Sweden_95
96,12.428299797021186,57.78777187127603,Sweden_96
97,15.73656490905832,57.79723531378529,Sweden_97
98,15.739589774626698,57.798197896490585,Sweden_98
99,11.835445217205317,57.81824702149989,Sweden_99
100,11.828437811276814,57.81828217504534,Sweden_100
101,11.852497950042194,57.81910051002056,Sweden_101
102,11.811463928053046,57.82008904259892,Sweden_102
103,11.819055447888532,57.82521088516874,Sweden_103
104,11.833748847656484,57.8274887936021,Sweden_104
105,11.779033596387665,57.836896299536285,Sweden_105
106,15.510986048988272,57.96753246359754,Sweden_106
107,15.509180758513178,57.97880541932758,Sweden_107
108,15.592787652264168,57.98239620197993,Sweden_108
109,15.529473712019294,57.98359436324557,Sweden_109
110,15.561826052371906,57.98483437479651,Sweden_110
111,15.515856498397415,57.98972867689727,Sweden_111
