Date,SGI
1990-01-31,-0.1346897940089197
1990-02-28,-0.31863936396437537
1990-03-31,-0.22570795386015938
1990-04-30,0.04477617669551638
1990-05-31,-0.1346897940089197
1990-06-30,-0.31863936396437537
1990-07-31,-0.6193067695087762
1990-08-31,-0.8544473986959894
1990-09-30,-1.1503493803760079
1990-10-31,-0.8544473986959894
1990-11-30,-1.3451666341766395
1990-12-31,-0.7318080838596178
1991-01-31,0.04477617669551638
1991-02-28,0.04477617669551638
1991-03-31,0.04477617669551638
1991-04-30,-0.04477617669551638
1991-05-31,0.04477617669551638
1991-06-30,0.1346897940089197
1991-07-31,0.4144133296000765
1991-08-31,0.7318080838596178
1991-09-30,0.619306769508776
1991-10-31,0.619306769508776
1991-11-30,0.514156100744534
1991-12-31,0.22570795386015938
1992-01-31,0.22570795386015938
1992-02-29,0.1346897940089197
1992-03-31,-0.04477617669551638
1992-04-30,-0.1346897940089197
1992-05-31,-0.04477617669551638
1992-06-30,-0.6193067695087762
1992-07-31,-1.1503493803760079
1992-08-31,-1.3451666341766395
1992-09-30,-0.8544473986959894
1992-10-31,-0.6193067695087762
1992-11-30,-0.6193067695087762
1992-12-31,0.1346897940089197
1993-01-31,0.1346897940089197
1993-02-28,0.4144133296000765
1993-03-31,0.514156100744534
1993-04-30,0.514156100744534
1993-05-31,0.4144133296000765
1993-06-30,-0.04477617669551638
1993-07-31,0.04477617669551638
1993-08-31,0.514156100744534
1993-09-30,1.1503493803760079
1993-10-31,1.6111691623526765
1993-11-30,2.100165492844469
1993-12-31,2.100165492844469
1994-01-31,2.100165492844469
1994-02-28,2.100165492844469
1994-03-31,2.100165492844469
1994-04-30,2.100165492844469
1994-05-31,2.100165492844469
1994-06-30,2.100165492844469
1994-07-31,2.100165492844469
1994-08-31,0.9915264746773306
1994-09-30,1.3451666341766395
1994-10-31,1.1503493803760079
1994-11-30,1.6111691623526765
1994-12-31,1.6111691623526765
1995-01-31,1.3451666341766395
1995-02-28,1.3451666341766395
1995-03-31,1.6111691623526765
1995-04-30,1.6111691623526765
1995-05-31,1.6111691623526765
1995-06-30,1.6111691623526765
1995-07-31,1.3451666341766395
1995-08-31,1.1503493803760079
1995-09-30,0.9915264746773306
1995-10-31,0.9915264746773306
1995-11-30,0.7318080838596178
1995-12-31,0.619306769508776
1996-01-31,0.31863936396437514
1996-02-29,0.22570795386015938
1996-03-31,-0.1346897940089197
1996-04-30,-0.22570795386015938
1996-05-31,-0.22570795386015938
1996-06-30,0.514156100744534
1996-07-31,0.7318080838596178
1996-08-31,0.619306769508776
1996-09-30,0.514156100744534
1996-10-31,0.31863936396437514
1996-11-30,0.22570795386015938
1996-12-31,0.4144133296000765
1997-01-31,0.514156100744534
1997-02-28,0.31863936396437514
1997-03-31,0.22570795386015938
1997-04-30,0.1346897940089197
1997-05-31,0.1346897940089197
1997-06-30,0.4144133296000765
1997-07-31,0.514156100744534
1997-08-31,0.4144133296000765
1997-09-30,0.22570795386015938
1997-10-31,-0.1346897940089197
1997-11-30,-0.04477617669551638
1997-12-31,-0.5141561007445341
1998-01-31,-0.6193067695087762
1998-02-28,-0.6193067695087762
1998-03-31,-0.9915264746773306
1998-04-30,-0.8544473986959894
1998-05-31,-0.4144133296000766
1998-06-30,-0.1346897940089197
1998-07-31,0.22570795386015938
1998-08-31,0.31863936396437514
1998-09-30,0.4144133296000765
1998-10-31,0.514156100744534
1998-11-30,0.8544473986959894
1998-12-31,1.1503493803760079
1999-01-31,1.1503493803760079
1999-02-28,1.1503493803760079
1999-03-31,1.1503493803760079
1999-04-30,0.9915264746773306
1999-05-31,0.9915264746773306
1999-06-30,1.3451666341766395
1999-07-31,1.1503493803760079
1999-08-31,1.6111691623526765
1999-09-30,1.6111691623526765
1999-10-31,1.3451666341766395
1999-11-30,1.3451666341766395
1999-12-31,1.3451666341766395
2000-01-31,1.6111691623526765
2000-02-29,1.6111691623526765
2000-03-31,1.3451666341766395
2000-04-30,1.3451666341766395
2000-05-31,1.3451666341766395
2000-06-30,0.9915264746773306
2000-07-31,0.8544473986959894
2000-08-31,0.8544473986959894
2000-09-30,0.7318080838596178
2000-10-31,0.4144133296000765
2000-11-30,0.31863936396437514
2000-12-31,0.31863936396437514
2001-01-31,0.4144133296000765
2001-02-28,0.514156100744534
2001-03-31,0.4144133296000765
2001-04-30,0.4144133296000765
2001-05-31,0.514156100744534
2001-06-30,0.619306769508776
2001-07-31,0.619306769508776
2001-08-31,0.22570795386015938
2001-09-30,0.31863936396437514
2001-10-31,0.8544473986959894
2001-11-30,0.9915264746773306
2001-12-31,0.7318080838596178
2002-01-31,0.8544473986959894
2002-02-28,0.8544473986959894
2002-03-31,0.9915264746773306
2002-04-30,1.1503493803760079
2002-05-31,1.1503493803760079
2002-06-30,1.1503493803760079
2002-07-31,1.6111691623526765
2002-08-31,1.3451666341766395
2002-09-30,0.8544473986959894
2002-10-31,0.7318080838596178
2002-11-30,0.619306769508776
2002-12-31,0.8544473986959894
2003-01-31,0.9915264746773306
2003-02-28,0.9915264746773306
2003-03-31,0.7318080838596178
2003-04-30,0.7318080838596178
2003-05-31,0.7318080838596178
2003-06-30,0.7318080838596178
2003-07-31,0.31863936396437514
2003-08-31,0.04477617669551638
2003-09-30,-0.22570795386015938
2003-10-31,-0.22570795386015938
2003-11-30,-0.4144133296000766
2003-12-31,-0.4144133296000766
2004-01-31,-0.7318080838596178
2004-02-29,-0.8544473986959894
2004-03-31,-0.7318080838596178
2004-04-30,-0.7318080838596178
2004-05-31,-0.7318080838596178
